Sr. No.,Symbol,Company Name
594,SPANDANA,Spandana Sphoorty Financial Limited
595,INDIGOPNTS,Indigo Paints Limited
596,GENUSPOWER,Genus Power Infrastructures Limited
597,SYMPHONY,Symphony Limited
598,HGINFRA,H.G. Infra Engineering Limited
599,TIPSINDLTD,TIPS Industries Limited
600,SIS,SIS LIMITED
601,MSTCLTD,Mstc Limited
602,NESCO,Nesco Limited
603,SANGHVIMOV,Sanghvi Movers Limited
604,SANDUMA,Sandur Manganese & Iron Ores Limited
605,UJJIVAN,Ujjivan Financial Services Limited
606,ITDCEM,ITD Cementation India Limited
607,CYIENTDLM,Cyient DLM Limited
608,EPL,EPL Limited
609,SUPRAJIT,Suprajit Engineering Limited
610,SUNTECK,Sunteck Realty Limited
611,HEMIPROP,Hemisphere Properties India Limited
612,MOIL,MOIL Limited
613,TIMETECHNO,Time Technoplast Limited
614,ASTRAMICRO,Astra Microwave Products Limited
615,TRIL,Transformers And Rectifiers (India) Limited
616,WONDERLA,Wonderla Holidays Limited
617,ASKAUTOLTD,ASK Automotive Limited
618,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED
619,GMMPFAUDLR,GMM Pfaudler Limited
620,SURYAROSNI,Surya Roshni Limited
621,VSTIND,VST Industries Limited
622,PTC,PTC India Limited
623,JKPAPER,JK Paper Limited
624,SANSERA,Sansera Engineering Limited
625,CHOICEIN,Choice International Limited
626,AURIONPRO,Aurionpro Solutions Limited
627,PAISALO,Paisalo Digital Limited
628,ITDC,India Tourism Development Corporation Limited
629,HNDFDS,Hindustan Foods Limited
630,PARADEEP,Paradeep Phosphates Limited
631,KESORAMIND,Kesoram Industries Limited
632,HCC,Hindustan Construction Company Limited
633,ORCHPHARMA,Orchid Pharma Limited
634,JAMNAAUTO,Jamna Auto Industries Limited
635,ICRA,ICRA Limited
636,RSYSTEMS,R Systems International Limited
637,PRUDENT,Prudent Corporate Advisory Services Limited
638,MTARTECH,Mtar Technologies Limited
639,UTKARSHBNK,Utkarsh Small Finance Bank Limited
640,RAIN,Rain Industries Limited
